gene,n_samples_mutated,mutation_frequency
BCOR,2,0.3333333333333333
NF1,2,0.3333333333333333
MACF1,2,0.3333333333333333
BRCA1,1,0.16666666666666666
ATF7IP,1,0.16666666666666666
APC,1,0.16666666666666666
CREBBP,1,0.16666666666666666
CASP8,1,0.16666666666666666
FGFR3,1,0.16666666666666666
HRAS,1,0.16666666666666666
KMT2D,1,0.16666666666666666
KMT2A,1,0.16666666666666666
MTOR,1,0.16666666666666666
NCOR1,1,0.16666666666666666
PLXNB2,1,0.16666666666666666
PMS1,1,0.16666666666666666
POLE,1,0.16666666666666666
PPP2R1A,1,0.16666666666666666
RUNX1,1,0.16666666666666666
SETD2,1,0.16666666666666666
TBX3,1,0.16666666666666666
THRAP3,1,0.16666666666666666
