interacting_pair,n_cell_pairs_Younger,n_cell_pairs_Older,mean_pval_Younger,mean_pval_Older,min_pval_Younger,min_pval_Older,log2_mean_Younger,log2_mean_Older
BAG6_NCR3,1,,0,,0,,0.233888060174277,
PDCD1LG2_PDCD1,1,,0,,0,,0.267835392097615,
ProstaglandinE2_byPTGES2_PTGER2,2,,0,,0,,0.285371349649871,
VCAM1_integrin_a4b1_complex,6,,0,,0,,0.32166011918405,
ALCAM_CD6,4,,0,,0,,0.321674889165557,
TGFB1_TGFBR3,1,,0,,0,,0.329984649758421,
VCAM1_integrin_a4b7_complex,4,,0,,0,,0.330244965071345,
TNFSF12_TNFRSF25,1,,0,,0,,0.35727047567956,
CD47_SIRPG,1,1,0,0,0,0,0.509949146304311,0.375178479589612
SELPLG_SELL,3,3,0,0,0,0,0.580417948859202,0.306003640013949
ProstaglandinE2_byPTGES2_PTGER4,5,,8e-04,,0,,0.445395341549679,
ICAM1_ITGAL,1,2,0,0,0,0,0.526068811667588,0.48901798618045
ICAM1_integrin_aLb2_complex,1,2,0,0,0,0,0.526068811667588,0.48901798618045
atRetinoicAcid_byALDH1A1_RAreceptor_RARA,2,,0,,0,,0.508389349104576,
CD86_CD28,2,2,0,0,0,0,0.653350728438313,0.367318613137629
integrin_aVb1_complex_ADGRE5,6,6,0,0,0,0,0.460365693861454,0.611442594003772
ICAM1_SPN,4,,0,,0,,0.590151482080704,
CD86_CTLA4,2,2,0,0,0,0,0.698346363622898,0.507564998933974
LGALS9_HAVCR2,2,,0,,0,,0.705755697381519,
CXCL11_CXCR3,3,,0,,0,,0.7165326194254,
CLEC2B_KLRF1,2,,0,,0,,0.7288664802058,
TNF_TNFRSF1B,4,5,0,0,0,0,0.495764593678112,1.14333186317388
LGALS9_P4HB,3,3,0,0,0,0,1.05454459921313,0.679780488715093
CD58_CD2,5,5,0,0,0,0,1.00906033483766,0.725316622569217
CXCL9_CXCR3,3,,0,,0,,1.07380883216335,
PLAUR_integrin_a4b1_complex,6,5,0,0,0,0,1.02213353984389,1.21678179788298
FN1_integrin_a4b1_complex,,5,,0,,0,,1.29779453078262
Cholesterol_byLIPA_RORA,5,5,0,0,0,0,1.79827915959936,0.853273383320932
CD44_TYROBP,2,1,0,0.02,0,0.02,1.74800935476868,1.23695175858808
HLA-E_CD94:NKG2A,2,1,0,0,0,0,1.948385470383,1.6667565918848
HLA-E_KLRC1,2,1,0,0,0,0,1.948385470383,1.6667565918848
CXCL10_CXCR3,3,2,0,0,0,0,2.5502957897593,0.828901163923688
HLA-E_CD94:NKG2C,4,,0,,0,,1.87653817960098,
HLA-E_KLRC2,4,,0,,0,,1.87653817960098,
SPP1_integrin_a4b1_complex,6,5,0,0,0,0,1.74775201165708,2.22919912110156
CXCL12_CXCR4,6,6,0.006,0,0,0,2.67906727070364,1.7914297097829
APP_CD74,1,1,0,0,0,0,4.49415956371284,4.32423456227053
PLAU_PLAUR,1,,0.004,,0.004,,0.660837367696284,
ProstaglandinE2_byPTGES3_PTGER4,2,1,0.01,0.016,0.004,0.016,0.912256648667401,0.988412025724788
