interacting_pair,n_cell_pairs_Older,n_cell_pairs_Younger,mean_pval_Older,mean_pval_Younger,min_pval_Older,min_pval_Younger,log2_mean_Older,log2_mean_Younger
HLA-G_LILRB1,1,,0,,0,,0.177598929327733,
GAS6_AXL,1,,0,,0,,0.332278283056929,
HLA-F_LILRB1,8,6,0,0.00133333333333333,0,0,0.375026650295908,0.581602340612783
CXCL11_CXCR3,,3,,0,,0,,0.7165326194254
CXCL9_CXCR3,,3,,0,,0,,1.07380883216335
HLA-E_CD94:NKG2A,1,2,0,0,0,0,1.6667565918848,1.948385470383
HLA-E_KLRC1,1,2,0,0,0,0,1.6667565918848,1.948385470383
CXCL10_CXCR3,2,3,0,0,0,0,0.828901163923688,2.5502957897593
HLA-E_KLRC2,,4,,0,,0,,1.87653817960098
CXCL12_CXCR4,6,6,0,0.006,0,0,1.7914297097829,2.67906727070364
APP_CD74,8,7,0,0,0,0,5.59298176701323,5.46734263357834
