Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes,description,cell_type,direction
MSigDB_Hallmark_2020,TNF-alpha Signaling via NF-kB,3/200,7.91555905106562e-05,0.0009498670861278744,0,0,50.23857868020305,474.45791686900793,KLF6;ZFP36;CD83,Bcells_Up_Elderly,Bcells,Up in Elderly
MSigDB_Hallmark_2020,IL-2/STAT5 Signaling,2/199,0.0033868209242454,0.0136809273566292,0,0,28.70775924583031,163.28581822148593,KLF6;CD83,Bcells_Up_Elderly,Bcells,Up in Elderly
MSigDB_Hallmark_2020,Hypoxia,2/200,0.0034202318391573,0.0136809273566292,0,0,28.561327561327563,162.17255858986445,KLF6;ZFP36,Bcells_Up_Elderly,Bcells,Up in Elderly
MSigDB_Hallmark_2020,Apical Surface,1/44,0.0196303932897657,0.0588911798692971,0,0,57.98837209302326,227.93351613623008,HSPB1,Bcells_Up_Elderly,Bcells,Up in Elderly
MSigDB_Hallmark_2020,UV Response Up,1/158,0.0689072444303956,0.0864990660572792,0,0,15.79140127388535,42.24190306488084,DNAJB1,Bcells_Up_Elderly,Bcells,Up in Elderly
MSigDB_Hallmark_2020,Apoptosis,1/161,0.0701737155440851,0.0864990660572792,0,0,15.49296875,41.16143214330553,HSPB1,Bcells_Up_Elderly,Bcells,Up in Elderly
MSigDB_Hallmark_2020,Xenobiotic Metabolism,1/200,0.0864990660572792,0.0864990660572792,0,0,12.4321608040201,30.429226090981548,SERTAD1,Bcells_Up_Elderly,Bcells,Up in Elderly
MSigDB_Hallmark_2020,G2-M Checkpoint,1/200,0.0864990660572792,0.0864990660572792,0,0,12.4321608040201,30.429226090981548,CKS2,Bcells_Up_Elderly,Bcells,Up in Elderly
MSigDB_Hallmark_2020,E2F Targets,1/200,0.0864990660572792,0.0864990660572792,0,0,12.4321608040201,30.429226090981548,CKS2,Bcells_Up_Elderly,Bcells,Up in Elderly
MSigDB_Hallmark_2020,Myc Targets V1,1/200,0.0864990660572792,0.0864990660572792,0,0,12.4321608040201,30.429226090981548,HSP90AB1,Bcells_Up_Elderly,Bcells,Up in Elderly
MSigDB_Hallmark_2020,Estrogen Response Late,1/200,0.0864990660572792,0.0864990660572792,0,0,12.4321608040201,30.429226090981548,ZFP36,Bcells_Up_Elderly,Bcells,Up in Elderly
MSigDB_Hallmark_2020,Inflammatory Response,1/200,0.0864990660572792,0.0864990660572792,0,0,12.4321608040201,30.429226090981548,KLF6,Bcells_Up_Elderly,Bcells,Up in Elderly
KEGG_2021_Human,Protein processing in endoplasmic reticulum,2/171,0.0025151300687134,0.0553328615116952,0,0,33.51141166525782,200.5802341783647,DNAJB1;HSP90AB1,Bcells_Up_Elderly,Bcells,Up in Elderly
KEGG_2021_Human,Pathways in cancer,2/531,0.0223822893186626,0.1037109631590971,0,0,10.511477180664324,39.93820290592871,HSP90AB1;CKS2,Bcells_Up_Elderly,Bcells,Up in Elderly
KEGG_2021_Human,VEGF signaling pathway,1/59,0.0262438698013582,0.1037109631590971,0,0,42.95905172413793,156.38481754531216,HSPB1,Bcells_Up_Elderly,Bcells,Up in Elderly
KEGG_2021_Human,Antigen processing and presentation,1/78,0.0345639995215364,0.1037109631590971,0,0,32.327922077922075,108.78160264941484,HSP90AB1,Bcells_Up_Elderly,Bcells,Up in Elderly
KEGG_2021_Human,Small cell lung cancer,1/92,0.040654126315732,0.1037109631590971,0,0,27.33516483516484,87.54510068843584,CKS2,Bcells_Up_Elderly,Bcells,Up in Elderly
KEGG_2021_Human,IL-17 signaling pathway,1/94,0.0415213510214556,0.1037109631590971,0,0,26.74462365591398,85.08929057374515,HSP90AB1,Bcells_Up_Elderly,Bcells,Up in Elderly
KEGG_2021_Human,Prostate cancer,1/97,0.0428208815706443,0.1037109631590971,0,0,25.904947916666668,81.61948121913939,HSP90AB1,Bcells_Up_Elderly,Bcells,Up in Elderly
KEGG_2021_Human,Progesterone-mediated oocyte maturation,1/100,0.0441188457824273,0.1037109631590971,0,0,25.116161616161616,78.3842312444799,HSP90AB1,Bcells_Up_Elderly,Bcells,Up in Elderly
KEGG_2021_Human,Amoebiasis,1/102,0.0449832858833605,0.1037109631590971,0,0,24.61633663366337,76.34668884813594,HSPB1,Bcells_Up_Elderly,Bcells,Up in Elderly
KEGG_2021_Human,Th17 cell differentiation,1/107,0.0471413468904986,0.1037109631590971,0,0,23.44929245283019,71.62832151155955,HSP90AB1,Bcells_Up_Elderly,Bcells,Up in Elderly
KEGG_2021_Human,Estrogen signaling pathway,1/137,0.0599989295864788,0.1115594191569184,0,0,18.249080882352946,51.34248529605202,HSP90AB1,Bcells_Up_Elderly,Bcells,Up in Elderly
KEGG_2021_Human,Fluid shear stress and atherosclerosis,1/139,0.06085059226741,0.1115594191569184,0,0,17.982789855072465,50.33983013534839,HSP90AB1,Bcells_Up_Elderly,Bcells,Up in Elderly
KEGG_2021_Human,Necroptosis,1/159,0.0693295717296231,0.1149331900177606,0,0,15.690664556962023,41.8765595579694,HSP90AB1,Bcells_Up_Elderly,Bcells,Up in Elderly
KEGG_2021_Human,Influenza A,1/172,0.0748043528694297,0.1149331900177606,0,0,14.488304093567251,37.56642236013193,DNAJB1,Bcells_Up_Elderly,Bcells,Up in Elderly
KEGG_2021_Human,NOD-like receptor signaling pathway,1/181,0.0785777973195466,0.1149331900177606,0,0,13.75763888888889,34.99483960682748,HSP90AB1,Bcells_Up_Elderly,Bcells,Up in Elderly
KEGG_2021_Human,Kaposi sarcoma-associated herpesvirus infection,1/193,0.0835877745583714,0.1149331900177606,0,0,12.889973958333334,31.99108507754765,ZFP36,Bcells_Up_Elderly,Bcells,Up in Elderly
KEGG_2021_Human,Lipid and atherosclerosis,1/215,0.0927098812894457,0.1153285790423227,0,0,11.55198598130841,27.47385973581553,HSP90AB1,Bcells_Up_Elderly,Bcells,Up in Elderly
KEGG_2021_Human,Human T-cell leukemia virus 1 infection,1/219,0.0943597464891731,0.1153285790423227,0,0,11.337729357798166,26.764305493233454,ZFP36,Bcells_Up_Elderly,Bcells,Up in Elderly
KEGG_2021_Human,Chemical carcinogenesis,1/239,0.1025691374209863,0.1173138707632798,0,0,10.374474789915968,23.6249427692748,HSP90AB1,Bcells_Up_Elderly,Bcells,Up in Elderly
KEGG_2021_Human,Salmonella infection,1/249,0.1066489734211634,0.1173138707632798,0,0,9.951108870967742,22.27269586374381,HSP90AB1,Bcells_Up_Elderly,Bcells,Up in Elderly
KEGG_2021_Human,MAPK signaling pathway,1/294,0.1248049527703968,0.1307480457594633,0,0,8.40358361774744,17.487883880440325,HSPB1,Bcells_Up_Elderly,Bcells,Up in Elderly
KEGG_2021_Human,PI3K-Akt signaling pathway,1/354,0.1485024632233924,0.1485024632233924,0,0,6.953966005665722,13.262282230435094,HSP90AB1,Bcells_Up_Elderly,Bcells,Up in Elderly
Reactome_Pathways_2024,Attenuation Phase,2/27,6.281272926601724e-05,0.0036561530287774,0,0,228.18285714285716,2207.749647985094,DNAJB1;HSP90AB1,Bcells_Up_Elderly,Bcells,Up in Elderly
Reactome_Pathways_2024,HSF1 Activation,2/30,7.779048997398821e-05,0.0036561530287774,0,0,203.70408163265307,1927.3444106230904,DNAJB1;HSP90AB1,Bcells_Up_Elderly,Bcells,Up in Elderly
Reactome_Pathways_2024,HSF1-dependent Transactivation,2/37,0.00011890590002824751,0.003725718200885,0,0,162.9061224489796,1472.2116476467231,DNAJB1;HSP90AB1,Bcells_Up_Elderly,Bcells,Up in Elderly
Reactome_Pathways_2024,HSP90 Chaperone Cycle for Steroid Hormone Receptors (SHR) in the Presence of Ligand,2/56,0.000273732488705426,0.0064327134845775,0,0,105.48677248677248,865.3458905238808,DNAJB1;HSP90AB1,Bcells_Up_Elderly,Bcells,Up in Elderly
Reactome_Pathways_2024,Cellular Response to Heat Stress,2/101,0.0008882530928951148,0.0166991581464281,0,0,57.40836940836941,403.3657760645184,DNAJB1;HSP90AB1,Bcells_Up_Elderly,Bcells,Up in Elderly
Reactome_Pathways_2024,Regulation of Actin Dynamics for Phagocytic Cup Formation,2/143,0.0017683998136943,0.0277049304145444,0,0,40.22289766970618,254.9198622028219,HSP90AB1;IGKV3-20,Bcells_Up_Elderly,Bcells,Up in Elderly
Reactome_Pathways_2024,Potential Therapeutics for SARS,2/164,0.0023166323263773,0.0281713397751036,0,0,34.97178130511464,212.19620469407437,HSP90AB1;IGKV3-20,Bcells_Up_Elderly,Bcells,Up in Elderly
Reactome_Pathways_2024,Fcgamma Receptor (FCGR) Dependent Phagocytosis,2/168,0.0024291009620606,0.0281713397751036,0,0,34.12220309810671,205.4236494486386,HSP90AB1;IGKV3-20,Bcells_Up_Elderly,Bcells,Up in Elderly
Reactome_Pathways_2024,Uptake and Function of Diphtheria Toxin,1/6,0.0026972559359141,0.0281713397751036,0,0,499.65,2955.689739283532,HSP90AB1,Bcells_Up_Elderly,Bcells,Up in Elderly
Reactome_Pathways_2024,Aryl Hydrocarbon Receptor Signalling,1/7,0.0031461719727636,0.0295740165439781,0,0,416.3541666666667,2398.8531813702,HSP90AB1,Bcells_Up_Elderly,Bcells,Up in Elderly
Reactome_Pathways_2024,Respiratory Syncytial Virus Genome Replication,1/9,0.0040434660343014,0.0341318665245545,0,0,312.234375,1720.6153032705638,HSP90AB1,Bcells_Up_Elderly,Bcells,Up in Elderly
Reactome_Pathways_2024,Assembly and Release of Respiratory Syncytial Virus (RSV) Virions,1/11,0.004940042922945,0.0341318665245545,0,0,249.7625,1326.3340991921912,HSP90AB1,Bcells_Up_Elderly,Bcells,Up in Elderly
Reactome_Pathways_2024,Leishmania Infection,2/245,0.0050834694823804,0.0341318665245545,0,0,23.21928277483833,122.63870874518588,HSP90AB1;IGKV3-20,Bcells_Up_Elderly,Bcells,Up in Elderly
