"ensembl_gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","102-FF-Tumor","107-L4t2-Tumor","116-R4-Tumor","157-R2-Tumor","158-L2-Tumor","167-L2-Tumor","external_gene_name"
"ENSRNOG00000065111",215.30251695336,4.07073860714903,0.432670873513131,9.40839528692121,5.03769024466905e-21,8.13738105221392e-17,307.593744551381,352.947894105595,559.060492260507,33.900098580754,19.9107070937968,18.4021651281267,NA
"ENSRNOG00000043128",123.860390892268,3.34564041934625,0.359674740182066,9.30184982590855,1.38023119512414e-20,1.11474372474201e-16,202.632845936692,255.476818698527,218.566460625271,19.371484903288,26.5476094583957,20.5671257314357,"Armcx4"
"ENSRNOG00000003242",147.332094289655,3.4941792826381,0.439091548585841,7.95774661090978,1.75200684048932e-15,9.43338883147468e-12,256.571085502574,339.609746944628,214.953791854605,16.1429040860733,19.9107070937968,36.8043302562533,"Gulp1"
"ENSRNOG00000015716",646.141710202639,-5.94874222666397,0.789314450590175,-7.53659358727825,4.82406796306751e-14,1.94807924518574e-10,21.8668538780603,8.20809056059524,31.6108517433243,2800.79385893372,269.624158561831,744.746447538302,"Gp2"
"ENSRNOG00000067598",698.61062181368,2.83789471550448,0.397984290144016,7.13067019423694,9.98813866019625e-13,3.226768075563e-09,1102.08943545424,1827.32616105252,747.822435527787,173.536218925288,160.115269545949,180.774210376303,NA
"ENSRNOG00000017073",183.369465129884,-3.14849684545065,0.449134598227179,-7.01014096415278,2.38078132614183e-12,5.49382296588129e-09,16.0356928439109,54.3785999639435,39.739356477322,362.408196732346,320.230539091898,307.424405669881,"Car9"
"ENSRNOG00000067468",257.197822193486,-4.11418435445799,0.586010261898026,-7.02066946939219,2.20807655113153e-12,5.49382296588129e-09,14.5779025853735,31.8063509223066,37.0298548993228,855.573916561886,223.165842009639,381.033066182387,"RGD1562811"
"ENSRNOG00000034190",75.903426956952,2.9382096812078,0.422110845321755,6.96075382514311,3.38456754261104e-12,6.83386493947453e-09,103.503108356152,148.771641410789,150.82892117529,17.7571944946807,21.5699326849465,12.9897636198541,"Ighm"
"ENSRNOG00000005854",278.701074405439,2.80883075329163,0.407165804529001,6.89849373903294,5.25568060120325e-12,9.43277875013734e-09,690.992582546704,470.939195914152,301.657842350581,79.1002300217593,58.0728956902406,71.4436999091976,"Angpt1"
"ENSRNOG00000016456",1613.34003810456,2.67371138151922,0.392777983524202,6.80718241264272,9.95287040167669e-12,1.60768715598284e-08,2568.62643554281,2969.27676029533,2829.62281462386,247.793577721226,434.71710488123,630.003535562924,"Il33"
"ENSRNOG00000061895",64.3454560206226,3.13614994183248,0.485069313212208,6.46536454978853,1.0105488761587e-10,1.48394509059922e-07,119.538801200063,153.901698011161,73.1565426059791,11.3000328602513,14.1034175247727,14.0722439215086,"Ly49si1"
"ENSRNOG00000012580",503.364628690124,3.66534628437457,0.569404230918431,6.43716025513628,1.217293936265e-10,1.63857907937405e-07,1698.32565119601,357.051939385893,744.209766757121,51.6572930754347,92.0870203088101,76.8561014174702,"Ccdc141"
"ENSRNOG00000000563",59.2069700147529,4.02645702166964,0.6300728147982,6.39046301808663,1.65384200662916e-10,2.05496230254468e-07,109.334269390301,136.459505569896,89.4135520739745,13.7214684731623,4.14806397787433,2.16496060330902,"Adamts14"
"ENSRNOG00000000767",44.122356565329,3.8955606543893,0.618162203862126,6.30184218648566,2.94128568858467e-10,3.39361340912201e-07,77.2628837024796,62.5866905245387,108.380063119969,9.685742451644,2.4888383867246,4.32992120661804,"AC112568.1"
