"GeneSymb","PathwayName","Spearman_Rho","Spearman_pval","FDR_qval","n_samples","Sig_nominal","Sig_FDR"
"PAK4","Estrogen",0.448608547173835,0.00326336419363053,0.00815841048407633,41,TRUE,TRUE
"PAK4","HALLMARK_ESTROGEN_RESPONSE_EARLY",0.521080139372822,0.000477369440332268,0.00168483331881977,41,TRUE,TRUE
"PAK4","HALLMARK_ESTROGEN_RESPONSE_LATE",0.443379790940767,0.00369128071895088,0.00885907372548212,41,TRUE,TRUE
"PAK4","E1UpRegGene",0.706271777003484,2.47997590230576e-07,2.27099021119915e-06,41,TRUE,TRUE
"PAK4","REACTOME_ESTROGEN_DEPENDENT_GENE_EXPRESSION",0.57212543554007,9.30395414455235e-05,0.000372158165782094,41,TRUE,TRUE
"PAK4","GOBP_CELLULAR_RESPONSE_TO_ESTROGEN_STIMULUS",0.131881533101045,0.411112247732725,0.524824146041777,41,FALSE,FALSE
"HSD17B7","Estrogen",0.34844230158139,0.0255749488295555,0.0590191126835897,41,TRUE,FALSE
"HSD17B7","HALLMARK_ESTROGEN_RESPONSE_EARLY",0.329094076655052,0.0356424986752409,0.0792055526116465,41,TRUE,FALSE
"HSD17B7","HALLMARK_ESTROGEN_RESPONSE_LATE",0.216376306620209,0.174210551014243,0.316746456389532,41,FALSE,FALSE
"HSD17B7","E1UpRegGene",0.466202090592335,0.00212511789744542,0.00554378581942283,41,TRUE,TRUE
"HSD17B7","REACTOME_ESTROGEN_DEPENDENT_GENE_EXPRESSION",0.552961672473868,0.000177334968623896,0.000665006132339612,41,TRUE,TRUE
"HSD17B7","GOBP_CELLULAR_RESPONSE_TO_ESTROGEN_STIMULUS",-0.0639372822299652,0.69126100385707,0.797608850604311,41,FALSE,FALSE
"GREB1","Estrogen",0.86883520261485,1.79630897016426e-13,1.07778538209856e-11,41,TRUE,TRUE
"GREB1","HALLMARK_ESTROGEN_RESPONSE_EARLY",0.75418118466899,1.24419707437021e-08,2.48839414874041e-07,41,TRUE,TRUE
"GREB1","HALLMARK_ESTROGEN_RESPONSE_LATE",0.615679442508711,1.83134764573309e-05,9.15673822866543e-05,41,TRUE,TRUE
"GREB1","E1UpRegGene",0.47787456445993,0.00157865702107989,0.00430542823930879,41,TRUE,TRUE
"GREB1","REACTOME_ESTROGEN_DEPENDENT_GENE_EXPRESSION",0.493031358885018,0.00105624061496049,0.00333549667882261,41,TRUE,TRUE
"GREB1","GOBP_CELLULAR_RESPONSE_TO_ESTROGEN_STIMULUS",0.0517421602787457,0.747997556323061,0.801863287061216,41,FALSE,FALSE
"PGR","Estrogen",0.770502863872834,3.82743298385562e-09,1.14822989515669e-07,41,TRUE,TRUE
"PGR","HALLMARK_ESTROGEN_RESPONSE_EARLY",0.672299651567944,1.48060437598787e-06,1.1104532819909e-05,41,TRUE,TRUE
"PGR","HALLMARK_ESTROGEN_RESPONSE_LATE",0.505923344947735,0.000739422095361291,0.00246474031787097,41,TRUE,TRUE
"PGR","E1UpRegGene",0.186236933797909,0.243673503237073,0.406122505395122,41,FALSE,FALSE
"PGR","REACTOME_ESTROGEN_DEPENDENT_GENE_EXPRESSION",0.155400696864112,0.331952532504347,0.452662544324109,41,FALSE,FALSE
"PGR","GOBP_CELLULAR_RESPONSE_TO_ESTROGEN_STIMULUS",0.0454703832752613,0.777717687893327,0.81865019778245,41,FALSE,FALSE
"ESR1","Estrogen",0.705093519540889,2.64948857973234e-07,2.27099021119915e-06,41,TRUE,TRUE
"ESR1","HALLMARK_ESTROGEN_RESPONSE_EARLY",0.632229965156795,9.24714027794131e-06,5.04389469705889e-05,41,TRUE,TRUE
"ESR1","HALLMARK_ESTROGEN_RESPONSE_LATE",0.484843205574913,0.00131533037588559,0.00375808678824454,41,TRUE,TRUE
"ESR1","E1UpRegGene",0.607665505226481,2.51476967908884e-05,0.000116066292881024,41,TRUE,TRUE
"ESR1","REACTOME_ESTROGEN_DEPENDENT_GENE_EXPRESSION",0.486933797909408,0.00124432337639704,0.00373297012919113,41,TRUE,TRUE
"ESR1","GOBP_CELLULAR_RESPONSE_TO_ESTROGEN_STIMULUS",0.176829268292683,0.268731834265039,0.411830718398698,41,FALSE,FALSE
"TFF1","Estrogen",0.727145708261731,7.2705984400501e-08,1.09058976600751e-06,41,TRUE,TRUE
