"BaselineProp.clusters","BaselineProp.Freq","PropMean.Aged","PropMean.Young","PropRatio","Tstatistic","P.Value","FDR","CellType","Level","Warning"
"Treg",0.0151681726045281,0.0211242502934972,0.00840830036499802,2.51230919169266,2.42526610408676,0.0408881879429885,0.267037685603447,"Treg","Main","n=3 per group; interpret with caution"
"M1_Macrophage",0.0188614422647473,0.0241673484665419,0.0134731022384945,1.79374787177763,2.08968330973232,0.0558500232881527,0.267037685603447,"M1_Macrophage","Main","n=3 per group; interpret with caution"
"NaiveTcell",0.0185350602947745,0.0309554483076701,0.00627464243369982,4.93342029203366,2.26417078784753,0.0572223612007387,0.267037685603447,"NaiveTcell","Main","n=3 per group; interpret with caution"
"NKcell",0.0382725804789226,0.0462838645217431,0.0316221728893792,1.46365225070565,0.985551654332674,0.341480346052804,0.917445554677468,"NKcell","Main","n=3 per group; interpret with caution"
"Fibroblast",0.0685745696911396,0.0627875655048959,0.077081624992757,0.814559442808785,-0.802642753604869,0.435917378107461,0.917445554677468,"Fibroblast","Main","n=3 per group; interpret with caution"
"CancerEpithelial",0.249682207029237,0.234897532013429,0.269585952891305,0.871327046139298,-0.686682029928158,0.503768207363346,0.917445554677468,"CancerEpithelial","Main","n=3 per group; interpret with caution"
"Myoepithelial",0.168567698491772,0.153140046450216,0.173556369491366,0.882364887552193,-0.625940322985965,0.541667082138495,0.917445554677468,"Myoepithelial","Main","n=3 per group; interpret with caution"
"DendriticCell",0.037293434569004,0.0398469444609141,0.0349593534692523,1.13980781984314,0.424667327163922,0.677688556251823,0.917445554677468,"DendriticCell","Main","n=3 per group; interpret with caution"
"CD4Tcell",0.0323977050194111,0.0348043814166097,0.0304804574405552,1.14185889383344,0.391205039242572,0.701676642605694,0.917445554677468,"CD4Tcell","Main","n=3 per group; interpret with caution"
"CD8Tcell",0.0418799601470437,0.0446392321849808,0.039980705722973,1.11651936547311,0.243680114051699,0.811098289216634,0.917445554677468,"CD8Tcell","Main","n=3 per group; interpret with caution"
"M2_Macrophage",0.0301302092280207,0.0292502088733894,0.0335464803489091,0.871930782876917,-0.238793788116092,0.814808957156342,0.917445554677468,"M2_Macrophage","Main","n=3 per group; interpret with caution"
"Macrophage",0.0760813550005153,0.0769738739735748,0.0773294089781789,0.99540233128247,-0.209407866185033,0.837219100065198,0.917445554677468,"Macrophage","Main","n=3 per group; interpret with caution"
"Monocyte",0.0640395781083588,0.0633122702745687,0.065690991082897,0.963789238537648,-0.190245275239038,0.851913729343364,0.917445554677468,"Monocyte","Main","n=3 per group; interpret with caution"
"Endothelial",0.140516027072526,0.137817033257969,0.138010437655235,0.998598624853659,0.00291125881005531,0.99771922192526,0.99771922192526,"Endothelial","Main","n=3 per group; interpret with caution"
