"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","celltype","FDR","Sig_nominal","Sig_FDR","Direction"
0,5.59946863527047,0.805,0.165,0,"Glycam1","Luminal",0,TRUE,TRUE,"Up_in_Aged"
0,3.28901722890677,0.753,0.233,0,"Clca1","Luminal",0,TRUE,TRUE,"Up_in_Aged"
0,10.3718092101532,0.498,0.001,0,"Igf2","Luminal",0,TRUE,TRUE,"Up_in_Aged"
0,-4.19050662980908,0.09,0.587,0,"Adgrl3","Luminal",0,TRUE,TRUE,"Down_in_Aged"
0,-2.09203118401743,0.268,0.676,0,"Plcb1","Luminal",0,TRUE,TRUE,"Down_in_Aged"
0,-1.53558406948581,0.25,0.634,0,"Bmpr1b","Luminal",0,TRUE,TRUE,"Down_in_Aged"
0,-1.37093657744658,0.466,0.817,0,"Scd2","Luminal",0,TRUE,TRUE,"Down_in_Aged"
0,2.49569270964098,1,0.674,0,"Csn2","Luminal",0,TRUE,TRUE,"Up_in_Aged"
0,2.32833829978335,0.419,0.103,0,"Cd74","Luminal",0,TRUE,TRUE,"Up_in_Aged"
0,-1.89873643479029,0.195,0.504,0,"Ar","Luminal",0,TRUE,TRUE,"Down_in_Aged"
0,2.09347927011628,0.836,0.53,0,"Tmsb4x","Luminal",0,TRUE,TRUE,"Up_in_Aged"
0,3.3526594989425,0.354,0.055,0,"Il33","Luminal",0,TRUE,TRUE,"Up_in_Aged"
0,-1.5301431289853,0.179,0.47,0,"Tfap2b","Luminal",0,TRUE,TRUE,"Down_in_Aged"
0,-2.98484645536162,0.088,0.378,0,"Mboat2","Luminal",0,TRUE,TRUE,"Down_in_Aged"
0,4.95215657238889,0.305,0.021,0,"AC112568.1","Luminal",0,TRUE,TRUE,"Up_in_Aged"
0,-1.23536683392424,0.232,0.513,0,"Cdk6","Luminal",0,TRUE,TRUE,"Down_in_Aged"
0,-2.01135791942036,0.307,0.587,0,"Fasn","Luminal",0,TRUE,TRUE,"Down_in_Aged"
0,3.19321192972497,0.338,0.061,0,"C3","Luminal",0,TRUE,TRUE,"Up_in_Aged"
0,-1.36150365060534,0.323,0.597,0,"Setbp1","Luminal",0,TRUE,TRUE,"Down_in_Aged"
0,-2.01837801268392,0.084,0.351,0,"Rims2","Luminal",0,TRUE,TRUE,"Down_in_Aged"
0,-1.25151093929794,0.433,0.699,0,"Alcam","Luminal",0,TRUE,TRUE,"Down_in_Aged"
0,-5.60347032742699,0.016,0.277,0,"Car12","Luminal",0,TRUE,TRUE,"Down_in_Aged"
0,-2.28083340520382,0.222,0.483,0,"Hacd2","Luminal",0,TRUE,TRUE,"Down_in_Aged"
