"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","celltype","FDR","Sig_nominal","Sig_FDR","Direction"
3.3484764960492e-233,3.00583115280257,0.913,0.268,7.73431101057444e-229,"Clca1","Basal",1.2730907637979e-229,TRUE,TRUE,"Up_in_Aged"
1.0028862163282e-197,11.800065576261,0.654,0,2.31646658247487e-193,"Igf2","Basal",1.90648669723991e-194,TRUE,TRUE,"Up_in_Aged"
1.1967581857405e-171,5.02548101642417,0.764,0.195,2.76427205742341e-167,"Glycam1","Basal",1.51669154072846e-168,TRUE,TRUE,"Up_in_Aged"
1.34511720449641e-150,1.69653244338538,0.908,0.39,3.10695171894581e-146,"Rasgef1b","Basal",1.27853390287384e-147,TRUE,TRUE,"Up_in_Aged"
3.21712770363658e-114,1.78690887724679,0.778,0.31,7.43092156985976e-110,"Igf1r","Basal",2.44630390584525e-111,TRUE,TRUE,"Up_in_Aged"
1.34832016835634e-109,-4.72390876595309,0.053,0.43,3.11434992486948e-105,"Lsamp","Basal",8.54385546681804e-107,TRUE,TRUE,"Down_in_Aged"
3.136540499149e-100,1.71599415573408,0.999,0.781,7.24478124493436e-96,"Csn2","Basal",1.70358956825207e-97,TRUE,TRUE,"Up_in_Aged"
1.16158776688243e-95,-4.49351764401075,0.035,0.364,2.68303542394504e-91,"RGD1562811","Basal",5.52044586210875e-93,TRUE,TRUE,"Down_in_Aged"
2.9158196338955e-88,-6.85436985547542,0.007,0.282,6.73496019037182e-84,"Gp2","Basal",1.23177180534119e-85,TRUE,TRUE,"Down_in_Aged"
1.20007073134098e-82,-4.25933948956365,0.036,0.331,2.77192337525139e-78,"Mctp1","Basal",4.56266892055839e-80,TRUE,TRUE,"Down_in_Aged"
2.69369228593639e-80,1.01439630878824,0.955,0.836,6.22189044205586e-76,"Mob3b","Basal",9.31038006466376e-78,TRUE,TRUE,"Up_in_Aged"
3.30079278322138e-77,4.2511084490988,0.361,0.026,7.62417117068473e-73,"Cracd","Basal",1.04580118015064e-74,TRUE,TRUE,"Up_in_Aged"
4.27202807820715e-76,-3.1752018700511,0.265,0.585,9.86753045504287e-72,"Vegfa","Basal",1.24940390410335e-73,TRUE,TRUE,"Down_in_Aged"
5.39377991378629e-76,2.12190669824605,0.535,0.148,1.24585528448636e-71,"Nell1","Basal",1.46479651658682e-73,TRUE,TRUE,"Up_in_Aged"
1.92257386188016e-75,2.41116857951396,0.588,0.244,4.4407611061708e-71,"Zfhx4","Basal",4.87308388191225e-73,TRUE,TRUE,"Up_in_Aged"
3.52363798864559e-74,2.07696955010576,0.664,0.364,8.13889902617358e-70,"Opcml","Basal",8.37304477051907e-72,TRUE,TRUE,"Up_in_Aged"
3.38783698922745e-71,-3.04336177621891,0.136,0.444,7.82522587771757e-67,"Ddit4","Basal",7.57679778414281e-69,TRUE,TRUE,"Down_in_Aged"
6.44003601750562e-71,2.99101728139197,0.432,0.087,1.48751951932345e-66,"Cd74","Basal",1.36027871880869e-68,TRUE,TRUE,"Up_in_Aged"
3.45560678393504e-68,3.30823036947686,0.375,0.055,7.98176054953315e-64,"Lef1","Basal",6.91485104869527e-66,TRUE,TRUE,"Up_in_Aged"
4.55011881570145e-66,1.10475190319495,0.905,0.813,1.05098644405072e-61,"Mycbp2","Basal",8.64977586864847e-64,TRUE,TRUE,"Up_in_Aged"
1.62335616579511e-57,3.92947715670606,0.931,0.188,3.74962807175355e-53,"Clca1","Endothelial",6.99341836224534e-54,TRUE,TRUE,"Up_in_Aged"
2.57265644157775e-44,10.014723820079,0.681,0,5.94232184875629e-40,"Igf2","Endothelial",5.54150197515847e-41,TRUE,TRUE,"Up_in_Aged"
6.28481500658738e-41,-3.37142897895216,0.399,0.866,1.45166657022155e-36,"Igfbp3","Endothelial",9.02499434945948e-38,TRUE,TRUE,"Down_in_Aged"
6.37939883958805e-29,-3.17498223143408,0.112,0.581,1.47351354396805e-24,"Cxcr4","Endothelial",6.87061255023633e-26,TRUE,TRUE,"Down_in_Aged"
1.11864912351517e-28,5.3048006837573,0.674,0.177,2.58385574549534e-24,"Glycam1","Endothelial",9.6382808482067e-26,TRUE,TRUE,"Up_in_Aged"
3.78869330007222e-28,2.16288014821211,0.844,0.409,8.75112378450681e-24,"Apoe","Endothelial",2.72028178945185e-25,TRUE,TRUE,"Up_in_Aged"
2.53950634490818e-26,-3.20768932586813,0.116,0.559,5.86575175546892e-22,"Esm1","Endothelial",1.56288476198063e-23,TRUE,TRUE,"Down_in_Aged"
9.71585188120598e-26,-3.20036416394358,0.167,0.597,2.24416746752096e-21,"Angpt2","Endothelial",5.23198623802942e-23,TRUE,TRUE,"Down_in_Aged"
7.82906647071307e-23,-1.99670192085775,0.457,0.763,1.8083577734053e-18,"Sat1","Endothelial",3.74751315064799e-20,TRUE,TRUE,"Down_in_Aged"
1.31663098227793e-20,-2.8660016154647,0.116,0.489,3.04115424286556e-16,"Kcnj2","Endothelial",5.67204627165331e-18,TRUE,TRUE,"Down_in_Aged"
3.96254266884397e-20,-2.881828237287,0.123,0.484,9.1526810564958e-16,"Ephb1","Endothelial",1.55187580157998e-17,TRUE,TRUE,"Down_in_Aged"
4.42511481180286e-19,4.46647732603477,0.399,0.032,1.02211301923023e-14,"Areg","Endothelial",1.58861621743723e-16,TRUE,TRUE,"Up_in_Aged"
3.09353918012897e-17,-3.67585076942952,0.08,0.392,7.1454567982619e-13,"Slc45a4","Endothelial",1.02312840177728e-14,TRUE,TRUE,"Down_in_Aged"
3.34116019431699e-17,1.37974092653149,1,0.909,7.71741181683339e-13,"Csn2","Endothelial",1.02312840177728e-14,TRUE,TRUE,"Up_in_Aged"
3.56242479727464e-17,-3.81122720629546,0.029,0.306,8.22848879674496e-13,"Ackr3","Endothelial",1.02312840177728e-14,TRUE,TRUE,"Down_in_Aged"
1.42996511519381e-16,-1.56131531883301,0.457,0.726,3.30293342307466e-12,"Arhgef28","Endothelial",3.85018107265934e-14,TRUE,TRUE,"Down_in_Aged"
