"orig.ident","AgeGroup","sctype_celltype","n","total","proportion"
"Lee_021924_Nuclei1","Aged","CD4Tcell",320,13138,0.0243568275232151
"Lee_021924_Nuclei1","Aged","CD8Tcell",342,13138,0.0260313594154361
"Lee_021924_Nuclei1","Aged","CancerEpithelial",3725,13138,0.283528695387426
"Lee_021924_Nuclei1","Aged","DendriticCell",405,13138,0.0308266098340691
"Lee_021924_Nuclei1","Aged","Endothelial",1936,13138,0.147358806515451
"Lee_021924_Nuclei1","Aged","Fibroblast",779,13138,0.0592936520018268
"Lee_021924_Nuclei1","Aged","M1_Macrophage",223,13138,0.0169736641802405
"Lee_021924_Nuclei1","Aged","M2_Macrophage",350,13138,0.0266402801035165
"Lee_021924_Nuclei1","Aged","Macrophage",763,13138,0.058075810625666
"Lee_021924_Nuclei1","Aged","Monocyte",722,13138,0.0549550920992541
"Lee_021924_Nuclei1","Aged","Myoepithelial",2946,13138,0.224235043385599
"Lee_021924_Nuclei1","Aged","NKcell",281,13138,0.0213883391688233
"Lee_021924_Nuclei1","Aged","NaiveTcell",81,13138,0.00616532196681382
"Lee_021924_Nuclei1","Aged","Treg",265,13138,0.0201704977926625
"Lee_021924_Nuclei2","Aged","CD4Tcell",452,9821,0.046023826494247
"Lee_021924_Nuclei2","Aged","CD8Tcell",589,9821,0.0599735261175033
"Lee_021924_Nuclei2","Aged","CancerEpithelial",1836,9821,0.186946339476632
"Lee_021924_Nuclei2","Aged","DendriticCell",534,9821,0.0543732817432033
"Lee_021924_Nuclei2","Aged","Endothelial",929,9821,0.0945932186131759
"Lee_021924_Nuclei2","Aged","Fibroblast",690,9821,0.0702576112412178
"Lee_021924_Nuclei2","Aged","M1_Macrophage",303,9821,0.0308522553711435
"Lee_021924_Nuclei2","Aged","M2_Macrophage",273,9821,0.0277975766215253
"Lee_021924_Nuclei2","Aged","Macrophage",1127,9821,0.114754098360656
"Lee_021924_Nuclei2","Aged","Monocyte",741,9821,0.0754505651155687
"Lee_021924_Nuclei2","Aged","Myoepithelial",888,9821,0.0904184909886977
"Lee_021924_Nuclei2","Aged","NKcell",574,9821,0.0584461867426942
"Lee_021924_Nuclei2","Aged","NaiveTcell",594,9821,0.0604826392424397
"Lee_021924_Nuclei2","Aged","Treg",291,9821,0.0296303838712962
"Lee_021924_Nuclei3","Aged","CD4Tcell",331,9726,0.0340324902323669
"Lee_021924_Nuclei3","Aged","CD8Tcell",466,9726,0.0479128110220029
"Lee_021924_Nuclei3","Aged","CancerEpithelial",2278,9726,0.234217561176229
"Lee_021924_Nuclei3","Aged","DendriticCell",334,9726,0.0343409418054699
"Lee_021924_Nuclei3","Aged","Endothelial",1668,9726,0.171499074645281
"Lee_021924_Nuclei3","Aged","Fibroblast",572,9726,0.058811433271643
"Lee_021924_Nuclei3","Aged","M1_Macrophage",240,9726,0.0246761258482418
"Lee_021924_Nuclei3","Aged","M2_Macrophage",324,9726,0.0333127698951265
"Lee_021924_Nuclei3","Aged","Macrophage",565,9726,0.0580917129344026
"Lee_021924_Nuclei3","Aged","Monocyte",579,9726,0.0595311536088834
"Lee_021924_Nuclei3","Aged","Myoepithelial",1408,9726,0.144766604976352
"Lee_021924_Nuclei3","Aged","NKcell",574,9726,0.0590170676537117
"Lee_021924_Nuclei3","Aged","NaiveTcell",255,9726,0.0262183837137569
"Lee_021924_Nuclei3","Aged","Treg",132,9726,0.013571869216533
"Lee_021924_Nuclei4","Young","CD4Tcell",196,6463,0.0303264737737893
"Lee_021924_Nuclei4","Young","CD8Tcell",250,6463,0.0386817267522822
"Lee_021924_Nuclei4","Young","CancerEpithelial",1993,6463,0.308370725669194
"Lee_021924_Nuclei4","Young","DendriticCell",240,6463,0.0371344576821909
"Lee_021924_Nuclei4","Young","Endothelial",597,6463,0.0923719634844499
"Lee_021924_Nuclei4","Young","Fibroblast",581,6463,0.0898963329723039
"Lee_021924_Nuclei4","Young","M1_Macrophage",93,6463,0.014389602351849
"Lee_021924_Nuclei4","Young","M2_Macrophage",270,6463,0.0417762648924648
"Lee_021924_Nuclei4","Young","Macrophage",507,6463,0.0784465418536283
"Lee_021924_Nuclei4","Young","Monocyte",409,6463,0.0632833049667337
"Lee_021924_Nuclei4","Young","Myoepithelial",998,6463,0.154417453195111
"Lee_021924_Nuclei4","Young","NKcell",191,6463,0.0295528392387436
"Lee_021924_Nuclei4","Young","NaiveTcell",60,6463,0.00928361442054773
"Lee_021924_Nuclei4","Young","Treg",78,6463,0.0120686987467121
"Lee_021924_Nuclei5","Young","CD4Tcell",345,10534,0.0327510917030568
"Lee_021924_Nuclei5","Young","CD8Tcell",514,10534,0.0487943801025252
"Lee_021924_Nuclei5","Young","CancerEpithelial",2282,10534,0.216631858743118
"Lee_021924_Nuclei5","Young","DendriticCell",421,10534,0.0399658249477881
"Lee_021924_Nuclei5","Young","Endothelial",1608,10534,0.152648566546421
"Lee_021924_Nuclei5","Young","Fibroblast",863,10534,0.0819251946079362
"Lee_021924_Nuclei5","Young","M1_Macrophage",89,10534,0.00844883235238276
"Lee_021924_Nuclei5","Young","M2_Macrophage",183,10534,0.0173723182077084
"Lee_021924_Nuclei5","Young","Macrophage",826,10534,0.0784127586861591
"Lee_021924_Nuclei5","Young","Monocyte",713,10534,0.0676855895196507
"Lee_021924_Nuclei5","Young","Myoepithelial",2358,10534,0.223846591987849
"Lee_021924_Nuclei5","Young","NKcell",267,10534,0.0253464970571483
"Lee_021924_Nuclei5","Young","NaiveTcell",40,10534,0.00379722802354281
"Lee_021924_Nuclei5","Young","Treg",25,10534,0.00237326751471426
"Lee_021924_Nuclei6","Young","CD4Tcell",242,8532,0.0283638068448195
"Lee_021924_Nuclei6","Young","CD8Tcell",277,8532,0.0324660103141116
"Lee_021924_Nuclei6","Young","CancerEpithelial",2421,8532,0.283755274261603
"Lee_021924_Nuclei6","Young","DendriticCell",237,8532,0.0277777777777778
"Lee_021924_Nuclei6","Young","Endothelial",1442,8532,0.169010782934834
"Lee_021924_Nuclei6","Young","Fibroblast",507,8532,0.0594233473980309
"Lee_021924_Nuclei6","Young","M1_Macrophage",150,8532,0.0175808720112518
"Lee_021924_Nuclei6","Young","M2_Macrophage",354,8532,0.0414908579465541
"Lee_021924_Nuclei6","Young","Macrophage",641,8532,0.0751289263947492
"Lee_021924_Nuclei6","Young","Monocyte",564,8532,0.0661040787623066
"Lee_021924_Nuclei6","Young","Myoepithelial",1215,8532,0.142405063291139
"Lee_021924_Nuclei6","Young","NKcell",341,8532,0.0399671823722457
"Lee_021924_Nuclei6","Young","NaiveTcell",49,8532,0.00574308485700891
"Lee_021924_Nuclei6","Young","Treg",92,8532,0.0107829348335677
